Symbol,Company Name,Industry
CNXAUTO,NIFTY AUTO,AUTO
NSEBANK,NIFTY BANK,BANKNIFTY
NIFTY_CHEMICALS.NS,NIFTY CHEMICAL,CHEMICAL
CNXCMDT,NIFTY COMMODITIES,COMMODITIES
NIFTY_CONSR_DURBL.NS,NIFTY CONSUMER DURABLES,CONSUMER DURABLES
CNXCONSUM,NIFTY CONSUMPTION,CONSUMPTION
NIFTY_CPSE.NS,NIFTY CPSE,CPSE
NIFTY_IND_DEFENCE.NS,NIFTY IND DEFENCE,DEFENCE
NIFTY_IND_DIGITAL.NS,NIFTY DIGITAL,DIGITAL
CNXENERGY,NIFTY ENERGY,ENERGY
NIFTY_FIN_SERVICE.NS,NIFTY FINANCIAL SERVICE,FINANCIAL SERVICE
CNXFMCG,NIFTY FMCG,FMCG
NIFTY_HEALTHCARE.NS,NIFTY HEALTHCARE,HEALTHCARE
CNXINFRA,NIFTY INFRA,INFRA
CNXIT,NIFTY IT,IT
CNXMEDIA,NIFTY MEDIA,MEDIA
CNXMETAL,NIFTY METAL,METAL
NIFTYMIDCAP150.NS,NIFTY MIDCAP 150,MIDCAP 150
NSEMDCP50,NIFTY MIDCAP 50,MIDCAP 50
CNXMNC,NIFTY MNC,MNC
NSEI,NIFTY 50,NIFTY
NSMIDCP,NIFTY NEXT 50,NIFTY JR
NIFTY_OIL_AND_GAS.NS,NIFTY OIL AND GAS,OIL AND GAS
CNXPHARMA,NIFTY PHARMA,PHARMA
NIFTYPVTBANK.NS,NIFTY PRIVATE BANK,PRIVATE BANK
CNXPSE,NIFTY ,PSE
CNXPSUBANK,NIFTY PSUBANK,PSUBANK
CNXREALTY,NIFTY REALTY,REALTY
CNXSERVICE,NIFTY SERVICE,SERVICE
