Symbol,Company Name,Industry
CNXAUTO,NIFTY AUTO,AUTO
NSEBANK,NIFTY BANK,BANKNIFTY
CNXCMDT,NIFTY COMMODITIES,COMMODITIES
CNXCONSUM,NIFTY CONSUMPTION,CONSUMPTION
CNXENERGY,NIFTY ENERGY,ENERGY
NIFTY_FIN_SERVICE.NS,NIFTY FINANCIAL SERVICE,FINANCIAL SERVICE
CNXFMCG,NIFTY FMCG,FMCG
CNXINFRA,NIFTY INFRA,INFRA
CNXIT,NIFTY IT,IT
CNXMEDIA,NIFTY MEDIA,MEDIA
CNXMETAL,NIFTY METAL,METAL
NIFTYMIDCAP150.NS,NIFTY MIDCAP 150,MIDCAP 150
NSEMDCP50,NIFTY MIDCAP 50,MIDCAP 50
CNXMNC,NIFTY MNC,MNC
NSEI,NIFTY 50,NIFTY
NSMIDCP,NIFTY NEXT 50,NIFTY JR
CNXPHARMA,NIFTY PHARMA,PHARMA
CNXPSE,NIFTY ,PSE
CNXPSUBANK,NIFTY PSUBANK,PSUBANK
CNXREALTY,NIFTY REALTY,REALTY
CNXSERVICE,NIFTY SERVICE,SERVICE
