Symbol,Company Name,Industry
CNXAUTO,NIFTY AUTO,AUTO
CNXIT,NIFTY IT,IT
CNXFMCG,NIFTY FMCG,FMCG
NSEBANK,NIFTY BANK,BANKNIFTY
CNXPHARMA,NIFTY PHARMA,PHARMA
CNXENERGY,NIFTY ENERGY,ENERGY
CNXREALTY,NIFTY REALTY,REALTY
CNXINFRA,NIFTY INFRA,INFRA
CNXPSUBANK,NIFTY PSUBANK,PSUBANK
CNXCONSUM,NIFTY CONSUMPTION,CONSUMPTION
CNXCMDT,NIFTY COMMODITIES,COMMODITIES
CNXMEDIA,NIFTY MEDIA,MEDIA
CNXSERVICE,NIFTY SERVICE,SERVICE
CNXMETAL,NIFTY METAL,METAL
CNXPSE,NIFTY ,PSE
NIFTY_CPSE.NS,NIFTY CPSE,CPSE
NIFTY_FIN_SERVICE.NS,NIFTY FINANCIAL SERVICE,FINANCIAL SERVICE
NIFTYMIDCAP150.NS,NIFTY MIDCAP 150,MIDCAP 150
NSMIDCP,NIFTY NEXT 50,NIFTY JR
NSEI,NIFTY 50,NIFTY
NSEMDCP50,NIFTY MIDCAP 50,MIDCAP 50
NIFTY_HEALTHCARE.NS,NIFTY HEALTHCARE,HEALTHCARE
NIFTY_CHEMICALS.NS,NIFTY CHEMICAL,CHEMICAL
NIFTY_OIL_AND_GAS.NS,NIFTY OIL AND GAS,OIL AND GAS
NIFTYPVTBANK.NS,NIFTY PRIVATE BANK,PRIVATE BANK
