SYMBOL,Company Name,Industry
360ONE.NS,360 ONE WAM Ltd.,Financial Services
3MINDIA.NS,3M India Ltd.,Diversified
ACC.NS,ACC Ltd.,Construction Materials
AIAENG.NS,AIA Engineering Ltd.,Capital Goods
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods
AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services
AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods
ABBOTINDIA.NS,Abbott India Ltd.,Healthcare
ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare
APARINDS.NS,Apar Industries Ltd.,Capital Goods
APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components
ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods
ASTRAL.NS,Astral Ltd.,Capital Goods
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare
BSE.NS,BSE Ltd.,Financial Services
BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components
BANKINDIA.NS,Bank of India,Financial Services
MAHABANK.NS,Bank of Maharashtra,Financial Services
BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables
BDL.NS,Bharat Dynamics Ltd.,Capital Goods
BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components
BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods
BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication
BIOCON.NS,Biocon Ltd.,Healthcare
BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables
CRISIL.NS,CRISIL Ltd.,Financial Services
COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods
COFORGE.NS,Coforge Ltd.,Information Technology
COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
CONCOR.NS,Container Corporation of India Ltd.,Services
COROMANDEL.NS,Coromandel International Ltd.,Chemicals
CUMMINSIND.NS,Cummins India Ltd.,Capital Goods
DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods
DALBHARAT.NS,Dalmia Bharat Ltd.,Construction Materials
DEEPAKNTR.NS,Deepak Nitrite Ltd.,Chemicals
DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables
ENDURANCE.NS,Endurance Technologies Ltd.,Automobile and Auto Components
ESCORTS.NS,Escorts Kubota Ltd.,Capital Goods
EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components
NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services
FEDERALBNK.NS,Federal Bank Ltd.,Financial Services
FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Chemicals
FORTIS.NS,Fortis Healthcare Ltd.,Healthcare
GVT&D.NS,GE Vernova T&D India Ltd.,Capital Goods
GMRAIRPORT.NS,GMR Airports Ltd.,Services
GICRE.NS,General Insurance Corporation of India,Financial Services
GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare
GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare
MEDANTA.NS,Global Health Ltd.,Healthcare
GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods
GODREJIND.NS,Godrej Industries Ltd.,Diversified
GODREJPROP.NS,Godrej Properties Ltd.,Realty
FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,Chemicals
GUJGASLTD.NS,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels
HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services
HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile and Auto Components
HEXT.NS,Hexaware Technologies Ltd.,Information Technology
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods
HONAUT.NS,Honeywell Automation India Ltd.,Capital Goods
HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,Financial Services
IDBI.NS,IDBI Bank Ltd.,Financial Services
IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services
IRB.NS,IRB Infrastructure Developers Ltd.,Construction
ITCHOTELS.NS,ITC Hotels Ltd.,Consumer Services
INDIANB.NS,Indian Bank,Financial Services
IOB.NS,Indian Overseas Bank,Financial Services
IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
IREDA.NS,Indian Renewable Energy Development Agency Ltd.,Financial Services
IGL.NS,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels
INDUSTOWER.NS,Indus Towers Ltd.,Telecommunication
INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services
IPCALAB.NS,Ipca Laboratories Ltd.,Healthcare
JKCEMENT.NS,J.K. Cement Ltd.,Construction Materials
JSWINFRA.NS,JSW Infrastructure Ltd.,Services
JSL.NS,Jindal Stainless Ltd.,Metals & Mining
JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services
KPRMILL.NS,K.P.R. Mill Ltd.,Textiles
KEI.NS,KEI Industries Ltd.,Capital Goods
KPITTECH.NS,KPIT Technologies Ltd.,Information Technology
KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Durables
LTF.NS,L&T Finance Ltd.,Financial Services
LTTS.NS,L&T Technology Services Ltd.,Information Technology
LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services
LINDEINDIA.NS,Linde India Ltd.,Chemicals
LLOYDSME.NS,Lloyds Metals And Energy Ltd.,Metals & Mining
LUPIN.NS,Lupin Ltd.,Healthcare
MRF.NS,MRF Ltd.,Automobile and Auto Components
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services
MANKIND.NS,Mankind Pharma Ltd.,Healthcare
MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods
MFSL.NS,Max Financial Services Ltd.,Financial Services
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services
MPHASIS.NS,MphasiS Ltd.,Information Technology
MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services
NHPC.NS,NHPC Ltd.,Power
NLCINDIA.NS,NLC India Ltd.,Power
NMDC.NS,NMDC Ltd.,Metals & Mining
NTPCGREEN.NS,NTPC Green Energy Ltd.,Power
NATIONALUM.NS,National Aluminium Co. Ltd.,Metals & Mining
NAM-INDIA.NS,Nippon Life India Asset Management Ltd.,Financial Services
OBEROIRLTY.NS,Oberoi Realty Ltd.,Realty
OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels
PAYTM.NS,One 97 Communications Ltd.,Financial Services
OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology
POLICYBZR.NS,PB Fintech Ltd.,Financial Services
PIIND.NS,PI Industries Ltd.,Chemicals
PAGEIND.NS,Page Industries Ltd.,Textiles
PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods
PERSISTENT.NS,Persistent Systems Ltd.,Information Technology
PETRONET.NS,Petronet LNG Ltd.,Oil Gas & Consumable Fuels
PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty
POLYCAB.NS,Polycab India Ltd.,Capital Goods
PREMIERENE.NS,Premier Energies Ltd.,Capital Goods
PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty
PGHH.NS,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods
RVNL.NS,Rail Vikas Nigam Ltd.,Construction
SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services
SJVN.NS,SJVN Ltd.,Power
SRF.NS,SRF Ltd.,Chemicals
SCHAEFFLER.NS,Schaeffler India Ltd.,Automobile and Auto Components
SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components
SAIL.NS,Steel Authority of India Ltd.,Metals & Mining
SUNDARMFIN.NS,Sundaram Finance Ltd.,Financial Services
SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods
SUZLON.NS,Suzlon Energy Ltd.,Capital Goods
SWIGGY.NS,Swiggy Ltd.,Consumer Services
SYNGENE.NS,Syngene International Ltd.,Healthcare
TATACOMM.NS,Tata Communications Ltd.,Telecommunication
TATAELXSI.NS,Tata Elxsi Ltd.,Information Technology
TATAINVEST.NS,Tata Investment Corporation Ltd.,Financial Services
TATATECH.NS,Tata Technologies Ltd.,Information Technology
NIACL.NS,The New India Assurance Company Ltd.,Financial Services
THERMAX.NS,Thermax Ltd.,Capital Goods
TORNTPOWER.NS,Torrent Power Ltd.,Power
TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components
UCOBANK.NS,UCO Bank,Financial Services
UNOMINDA.NS,UNO Minda Ltd.,Automobile and Auto Components
UPL.NS,UPL Ltd.,Chemicals
UNIONBANK.NS,Union Bank of India,Financial Services
UBL.NS,United Breweries Ltd.,Fast Moving Consumer Goods
VMM.NS,Vishal Mega Mart Ltd.,Consumer Services
IDEA.NS,Vodafone Idea Ltd.,Telecommunication
VOLTAS.NS,Voltas Ltd.,Consumer Durables
WAAREEENER.NS,Waaree Energies Ltd.,Capital Goods
YESBANK.NS,Yes Bank Ltd.,Financial Services
