Symbol,Company Name,Industry
ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power
AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services
AARTIIND.NS,Aarti Industries Ltd.,Chemicals
AAVAS.NS,Aavas Financiers Ltd.,Financial Services
ACE.NS,Action Construction Equipment Ltd.,Capital Goods
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services
ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services
ABREL.NS,Aditya Birla Real Estate Ltd.,Forest Materials
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services
AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels
AFCONS.NS,Afcons Infrastructure Ltd.,Construction
AFFLE.NS,Affle 3i Ltd.,Information Technology
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare
AKZOINDIA.NS,Akzo Nobel India Ltd.,Consumer Durables
APLLTD.NS,Alembic Pharmaceuticals Ltd.,Healthcare
ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.,Chemicals
ALOKINDS.NS,Alok Industries Ltd.,Textiles
ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components
AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables
ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services
ANANTRAJ.NS,Anant Raj Ltd.,Realty
ANGELONE.NS,Angel One Ltd.,Financial Services
APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services
ASAHIINDIA.NS,Asahi India Glass Ltd.,Automobile and Auto Components
ASTERDM.NS,Aster DM Healthcare Ltd.,Healthcare
ASTRAZEN.NS,AstraZenca Pharma India Ltd.,Healthcare
ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components
ATUL.NS,Atul Ltd.,Chemicals
AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services
BASF.NS,BASF India Ltd.,Chemicals
BEML.NS,BEML Ltd.,Capital Goods
BLS.NS,BLS International Services Ltd.,Consumer Services
BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods
BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services
BATAINDIA.NS,Bata India Ltd.,Consumer Durables
BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals
BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods
BSOFT.NS,Birlasoft Ltd.,Information Technology
BLUEDART.NS,Blue Dart Express Ltd.,Services
BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare
BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods
FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services
BRIGADE.NS,Brigade Enterprises Ltd.,Realty
MAPMYINDIA.NS,C.E. Info Systems Ltd.,Information Technology
CCL.NS,CCL Products (I) Ltd.,Fast Moving Consumer Goods
CESC.NS,CESC Ltd.,Power
CAMPUS.NS,Campus Activewear Ltd.,Consumer Durables
CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services
CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare
CGCL.NS,Capri Global Capital Ltd.,Financial Services
CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods
CASTROLIND.NS,Castrol India Ltd.,Oil Gas & Consumable Fuels
CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components
CENTRALBK.NS,Central Bank of India,Financial Services
CDSL.NS,Central Depository Services (India) Ltd.,Financial Services
CENTURYPLY.NS,Century Plyboards (India) Ltd.,Consumer Durables
CERA.NS,Cera Sanitaryware Ltd,Consumer Durables
CHALET.NS,Chalet Hotels Ltd.,Consumer Services
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Chemicals
CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
CHOICEIN.NS,Choice International Ltd.,Financial Services
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services
CUB.NS,City Union Bank Ltd.,Financial Services
CLEAN.NS,Clean Science and Technology Ltd.,Chemicals
COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare
CAMS.NS,Computer Age Management Services Ltd.,Financial Services
CONCORDBIO.NS,Concord Biotech Ltd.,Healthcare
CRAFTSMAN.NS,Craftsman Automation Ltd.,Automobile and Auto Components
CREDITACC.NS,CreditAccess Grameen Ltd.,Financial Services
CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables
CYIENT.NS,Cyient Ltd.,Information Technology
DCMSHRIRAM.NS,DCM Shriram Ltd.,Diversified
DOMS.NS,DOMS Industries Ltd.,Fast Moving Consumer Goods
DATAPATTNS.NS,Data Patterns (India) Ltd.,Capital Goods
DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals
DELHIVERY.NS,Delhivery Ltd.,Services
DEVYANI.NS,Devyani International Ltd.,Consumer Services
AGARWALEYE.NS,Dr. Agarwal's Health Care Ltd.,Healthcare
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare
SKFINDIA.NS,SKF India Ltd.,Capital Goods
