Symbol,Company Name,Industry
360ONE.NS,360 ONE WAM Ltd.,Financial Services
3MINDIA.NS,3M India Ltd.,Diversified
ABB.NS,ABB India Ltd.,Capital Goods
ACC.NS,ACC Ltd.,Construction Materials
ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power
AGI.NS,AGI Greenpac Ltd.,Capital Goods
AIAENG.NS,AIA Engineering Ltd.,Capital Goods
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods
ASKAUTOLTD.NS,ASK Automotive Ltd.,Automobile and Auto Components
AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services
AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods
AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services
AARTIDRUGS.NS,Aarti Drugs Ltd.,Healthcare
AARTIIND.NS,Aarti Industries Ltd.,Chemicals
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Healthcare
AAVAS.NS,Aavas Financiers Ltd.,Financial Services
ABBOTINDIA.NS,Abbott India Ltd.,Healthcare
ACE.NS,Action Construction Equipment Ltd.,Capital Goods
ACUTAAS.NS,Acutaas Chemicals Ltd.,Healthcare
ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power
ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining
ADANIGREEN.NS,Adani Green Energy Ltd.,Power
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services
ADANIPOWER.NS,Adani Power Ltd.,Power
ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services
ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services
ABREL.NS,Aditya Birla Real Estate Ltd.,Forest Materials
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services
ADVENZYMES.NS,Advanced Enzyme Tech Ltd.,Healthcare
AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels
AETHER.NS,Aether Industries Ltd.,Chemicals
AFCONS.NS,Afcons Infrastructure Ltd.,Construction
AFFLE.NS,Affle 3i Ltd.,Information Technology
AHLUCONT.NS,Ahluwalia Contracts (India) Ltd.,Construction
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare
AJAXENGG.NS,Ajax Engineering Ltd.,Capital Goods
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare
AKZOINDIA.NS,Akzo Nobel India Ltd.,Consumer Durables
APLLTD.NS,Alembic Pharmaceuticals Ltd.,Healthcare
ALIVUS.NS,Alivus Life Sciences Ltd.,Healthcare
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare
ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.,Chemicals
ALLCARGO.NS,Allcargo Logistics Ltd.,Services
ABDL.NS,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods
ALOKINDS.NS,Alok Industries Ltd.,Textiles
ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components
AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables
AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials
ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services
ANANTRAJ.NS,Anant Raj Ltd.,Realty
ANGELONE.NS,Angel One Ltd.,Financial Services
ANURAS.NS,Anupam Rasayan India Ltd.,Chemicals
APARINDS.NS,Apar Industries Ltd.,Capital Goods
PARKHOTELS.NS,Apeejay Surrendra Park Hotels Ltd.,Consumer Services
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare
APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components
APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services
ACI.NS,Archean Chemical Industries Ltd.,Chemicals
ARVINDFASN.NS,Arvind Fashions Ltd.,Consumer Services
ARVIND.NS,Arvind Ltd.,Textiles
ASAHIINDIA.NS,Asahi India Glass Ltd.,Automobile and Auto Components
ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods
ASHOKA.NS,Ashoka Buildcon Ltd.,Construction
ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables
ASTERDM.NS,Aster DM Healthcare Ltd.,Healthcare
ASTRAMICRO.NS,Astra Microwave Products Ltd.,Capital Goods
ASTRAZEN.NS,AstraZenca Pharma India Ltd.,Healthcare
ASTRAL.NS,Astral Ltd.,Capital Goods
ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components
ATUL.NS,Atul Ltd.,Chemicals
AURIONPRO.NS,Aurionpro Solution Ltd.,Information Technology
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare
AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services
AVALON.NS,Avalon Technologies Ltd.,Capital Goods
AVANTIFEED.NS,Avanti Feeds Ltd.,Fast Moving Consumer Goods
DMART.NS,Avenue Supermarts Ltd.,Consumer Services
AWFIS.NS,Awfis Space Solutions Ltd.,Services
AXISBANK.NS,Axis Bank Ltd.,Financial Services
AZAD.NS,Azad Engineering Ltd.,Capital Goods
BASF.NS,BASF India Ltd.,Chemicals
BEML.NS,BEML Ltd.,Capital Goods
BLS.NS,BLS International Services Ltd.,Consumer Services
BSE.NS,BSE Ltd.,Financial Services
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components
BAJAJELEC.NS,Bajaj Electricals Ltd,Consumer Durables
BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services
BAJAJHFL.NS,Bajaj Housing Finance Ltd.,Financial Services
BALAMINES.NS,Balaji Amines Ltd.,Chemicals
BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components
BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods
BALUFORGE.NS,Balu Forge Industries Ltd.,Capital Goods
BANCOINDIA.NS,Banco Products (India) Ltd.,Automobile and Auto Components
BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services
BANKBARODA.NS,Bank of Baroda,Financial Services
BANKINDIA.NS,Bank of India,Financial Services
MAHABANK.NS,Bank of Maharashtra,Financial Services
BATAINDIA.NS,Bata India Ltd.,Consumer Durables
BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals
BELRISE.NS,Belrise Industries Ltd.,Automobile and Auto Components
BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables
BBL.NS,Bharat Bijlee Ltd.,Capital Goods
BDL.NS,Bharat Dynamics Ltd.,Capital Goods
BEL.NS,Bharat Electronics Ltd.,Capital Goods
BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components
BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods
BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication
BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication
BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods
BIOCON.NS,Biocon Ltd.,Healthcare
BIRLACORPN.NS,Birla Corporation Ltd.,Construction Materials
BSOFT.NS,Birlasoft Ltd.,Information Technology
BLACKBUCK.NS,Blackbuck Ltd.,Services
BLUEDART.NS,Blue Dart Express Ltd.,Services
BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare
BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables
BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods
BORORENEW.NS,Borosil Renewables Ltd.,Capital Goods
BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components
FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services
BRIGADE.NS,Brigade Enterprises Ltd.,Realty
BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods
MAPMYINDIA.NS,C.E. Info Systems Ltd.,Information Technology
CCL.NS,CCL Products (I) Ltd.,Fast Moving Consumer Goods
CESC.NS,CESC Ltd.,Power
CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods
CIEINDIA.NS,CIE Automotive India Ltd.,Automobile and Auto Components
CMSINFO.NS,CMS Info Systems Ltd.,Services
CRISIL.NS,CRISIL Ltd.,Financial Services
CSBBANK.NS,CSB Bank Ltd.,Financial Services
CAMPUS.NS,Campus Activewear Ltd.,Consumer Durables
CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services
CANBK.NS,Canara Bank,Financial Services
CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare
CGCL.NS,Capri Global Capital Ltd.,Financial Services
CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods
CARTRADE.NS,Cartrade Tech Ltd.,Consumer Services
CASTROLIND.NS,Castrol India Ltd.,Oil Gas & Consumable Fuels
CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components
CEIGALL.NS,Ceigall India Ltd.,Construction
CELLO.NS,Cello World Ltd.,Consumer Durables
CEMPRO.NS,Cemindia Projects Ltd.,Construction
CENTRALBK.NS,Central Bank of India,Financial Services
CDSL.NS,Central Depository Services (India) Ltd.,Financial Services
CENTURYPLY.NS,Century Plyboards (India) Ltd.,Consumer Durables
CERA.NS,Cera Sanitaryware Ltd,Consumer Durables
CHALET.NS,Chalet Hotels Ltd.,Consumer Services
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Chemicals
CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
CHOICEIN.NS,Choice International Ltd.,Financial Services
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services
CIGNITITEC.NS,Cigniti Technologies Ltd.,Information Technology
CIPLA.NS,Cipla Ltd.,Healthcare
CUB.NS,City Union Bank Ltd.,Financial Services
CLEAN.NS,Clean Science and Technology Ltd.,Chemicals
COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels
COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods
COFORGE.NS,Coforge Ltd.,Information Technology
COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare
